Date,Close,Volume,Stock Splits,Ticker
2023-12-19,236.6052703857422,1701400,0.0,BDX
2023-12-20,235.81866455078125,1519000,0.0,BDX
2023-12-21,239.0734100341797,1444900,0.0,BDX
2023-12-22,238.94558715820312,1974900,0.0,BDX
2023-12-26,239.2405700683593,2093700,0.0,BDX
2023-12-27,238.45391845703125,1496200,0.0,BDX
2023-12-28,238.9750823974609,1119900,0.0,BDX
2023-12-29,239.76173400878903,851900,0.0,BDX
2024-01-02,241.3251953125,1952200,0.0,BDX
2024-01-03,236.4578094482422,1842100,0.0,BDX
2024-01-04,238.85708618164065,1302300,0.0,BDX
2024-01-05,238.05075073242188,989800,0.0,BDX
2024-01-08,243.59664916992188,1610700,0.0,BDX
2024-01-09,233.8716583251953,2693800,0.0,BDX
2024-01-10,234.4321746826172,2205000,0.0,BDX
2024-01-11,231.08888244628903,1887600,0.0,BDX
2024-01-12,232.327880859375,1363300,0.0,BDX
2024-01-16,231.0790557861328,1585900,0.0,BDX
2024-01-17,230.3907623291016,1018000,0.0,BDX
2024-01-18,231.0790557861328,1210800,0.0,BDX
2024-01-19,231.95420837402344,1255500,0.0,BDX
2024-01-22,231.95420837402344,909700,0.0,BDX
2024-01-23,234.3239898681641,1219200,0.0,BDX
2024-01-24,230.6562347412109,1317900,0.0,BDX
2024-01-25,232.62286376953125,841000,0.0,BDX
2024-01-26,232.70152282714844,892200,0.0,BDX
2024-01-29,233.8815155029297,1084000,0.0,BDX
2024-01-30,232.2688751220703,1485700,0.0,BDX
2024-01-31,234.8254852294922,2355700,0.0,BDX
2024-02-01,238.3064422607422,3146300,0.0,BDX
2024-02-02,233.23252868652344,1724300,0.0,BDX
2024-02-05,231.1479034423828,1688100,0.0,BDX
2024-02-06,234.69764709472656,1671200,0.0,BDX
2024-02-07,235.4843139648437,1612500,0.0,BDX
2024-02-08,236.6937866210937,1643600,0.0,BDX
2024-02-09,239.6830596923828,2095500,0.0,BDX
2024-02-12,239.3094024658203,1453400,0.0,BDX
2024-02-13,235.0811462402344,1908600,0.0,BDX
2024-02-14,234.6288299560547,1599900,0.0,BDX
2024-02-15,235.956298828125,1226400,0.0,BDX
2024-02-16,236.7429656982422,1582400,0.0,BDX
2024-02-20,236.6446228027344,1193900,0.0,BDX
2024-02-21,241.2268829345703,1623800,0.0,BDX
2024-02-22,239.5552215576172,1305800,0.0,BDX
2024-02-23,242.09217834472656,992700,0.0,BDX
2024-02-26,237.6869201660156,939400,0.0,BDX
2024-02-27,237.21495056152344,919000,0.0,BDX
2024-02-28,235.1598052978516,829200,0.0,BDX
2024-02-29,231.619873046875,1812900,0.0,BDX
2024-03-01,231.3838806152344,1821300,0.0,BDX
2024-03-04,231.7182006835937,1930700,0.0,BDX
2024-03-05,229.554916381836,1335700,0.0,BDX
2024-03-06,231.66905212402344,1335300,0.0,BDX
2024-03-07,234.601303100586,1854800,0.0,BDX
2024-03-08,236.8523406982422,1692700,0.0,BDX
2024-03-11,236.4574279785156,964200,0.0,BDX
2024-03-12,234.79879760742188,1219900,0.0,BDX
2024-03-13,235.7663116455078,961400,0.0,BDX
2024-03-14,234.1570281982422,1121600,0.0,BDX
2024-03-15,233.702880859375,2686000,0.0,BDX
2024-03-18,234.7000274658203,1141800,0.0,BDX
2024-03-19,237.1880340576172,1070400,0.0,BDX
2024-03-20,234.8481292724609,784000,0.0,BDX
2024-03-21,238.5504913330078,1357000,0.0,BDX
2024-03-22,243.12168884277344,2230100,0.0,BDX
2024-03-25,238.5998687744141,1755300,0.0,BDX
2024-03-26,238.80718994140625,879000,0.0,BDX
2024-03-27,243.3981170654297,839600,0.0,BDX
2024-03-28,244.3064422607422,1093900,0.0,BDX
2024-04-01,240.9496459960937,667300,0.0,BDX
2024-04-02,237.95811462402344,1227600,0.0,BDX
2024-04-03,240.49546813964844,1215800,0.0,BDX
2024-04-04,239.9623260498047,952600,0.0,BDX
2024-04-05,243.0426788330078,1234600,0.0,BDX
2024-04-08,238.64923095703125,2086000,0.0,BDX
2024-04-09,242.68728637695312,945000,0.0,BDX
2024-04-10,237.9285125732422,831400,0.0,BDX
2024-04-11,237.55332946777344,1010500,0.0,BDX
2024-04-12,232.18243408203125,1028400,0.0,BDX
2024-04-15,231.7381591796875,872300,0.0,BDX
2024-04-16,228.0752868652344,1064100,0.0,BDX
