Date,Close,Volume,Stock Splits,Ticker
2023-12-19,124.9717254638672,1091500,0.0,EXPD
2023-12-20,123.92444610595705,1213500,0.0,EXPD
2023-12-21,125.14956665039062,977500,0.0,EXPD
2023-12-22,127.36267852783205,848900,0.0,EXPD
2023-12-26,126.76988220214844,830300,0.0,EXPD
2023-12-27,126.34503936767578,653600,0.0,EXPD
2023-12-28,126.04863739013672,525700,0.0,EXPD
2023-12-29,125.6731948852539,616300,0.0,EXPD
2024-01-02,125.5546417236328,784800,0.0,EXPD
2024-01-03,125.7522430419922,1481300,0.0,EXPD
2024-01-04,125.72260284423828,974000,0.0,EXPD
2024-01-05,126.97735595703124,1079300,0.0,EXPD
2024-01-08,124.75436401367188,1381500,0.0,EXPD
2024-01-09,121.37541198730467,1241100,0.0,EXPD
2024-01-10,123.57865142822266,999600,0.0,EXPD
2024-01-11,123.91456604003906,1257200,0.0,EXPD
2024-01-12,125.1396942138672,740500,0.0,EXPD
2024-01-16,125.66332244873048,1323000,0.0,EXPD
2024-01-17,125.04088592529295,1063500,0.0,EXPD
2024-01-18,127.09591674804688,979800,0.0,EXPD
2024-01-19,125.90044403076172,1500800,0.0,EXPD
2024-01-22,127.12555694580078,883400,0.0,EXPD
2024-01-23,126.95759582519533,1250300,0.0,EXPD
2024-01-24,125.6534423828125,645400,0.0,EXPD
2024-01-25,128.41981506347656,1126900,0.0,EXPD
2024-01-26,128.37042236328125,834500,0.0,EXPD
2024-01-29,126.6513214111328,866400,0.0,EXPD
2024-01-30,126.94772338867188,875800,0.0,EXPD
2024-01-31,124.81365203857422,1587900,0.0,EXPD
2024-02-01,122.20533752441406,2104000,0.0,EXPD
2024-02-02,122.83765411376952,1247600,0.0,EXPD
2024-02-05,123.07477569580078,816600,0.0,EXPD
2024-02-06,124.49748992919922,800000,0.0,EXPD
2024-02-07,126.07828521728516,1046100,0.0,EXPD
2024-02-08,125.6534423828125,941600,0.0,EXPD
2024-02-09,125.83128356933594,887700,0.0,EXPD
2024-02-12,125.03101348876952,784200,0.0,EXPD
2024-02-13,123.75648498535156,708900,0.0,EXPD
2024-02-14,124.23072814941406,760800,0.0,EXPD
2024-02-15,124.40856170654295,831000,0.0,EXPD
2024-02-16,122.66969299316406,1458700,0.0,EXPD
2024-02-20,114.18279266357422,2688900,0.0,EXPD
2024-02-21,116.48483276367188,1665000,0.0,EXPD
2024-02-22,119.44882202148438,1456600,0.0,EXPD
2024-02-23,118.70782470703124,927600,0.0,EXPD
2024-02-26,117.86802673339844,1736300,0.0,EXPD
2024-02-27,117.30487060546876,1022700,0.0,EXPD
2024-02-28,117.3443832397461,1117900,0.0,EXPD
2024-02-29,118.1644287109375,2123600,0.0,EXPD
2024-03-01,119.1919403076172,1686200,0.0,EXPD
2024-03-04,118.52010345458984,1014600,0.0,EXPD
2024-03-05,117.70994567871094,1705800,0.0,EXPD
2024-03-06,119.55750274658205,1064600,0.0,EXPD
2024-03-07,120.59489440917967,1166200,0.0,EXPD
2024-03-08,119.80450439453124,1207100,0.0,EXPD
2024-03-11,119.28086853027344,1249500,0.0,EXPD
2024-03-12,120.06137084960938,1205000,0.0,EXPD
2024-03-13,119.95269775390624,929400,0.0,EXPD
2024-03-14,117.46295166015624,1077600,0.0,EXPD
2024-03-15,118.42130279541016,3087100,0.0,EXPD
2024-03-18,115.8228759765625,1298000,0.0,EXPD
2024-03-19,116.26747131347656,1110100,0.0,EXPD
2024-03-20,118.1347885131836,936800,0.0,EXPD
2024-03-21,120.08114624023438,819600,0.0,EXPD
2024-03-22,120.22933959960938,805000,0.0,EXPD
2024-03-25,118.61890411376952,1431300,0.0,EXPD
2024-03-26,118.50035095214844,1151300,0.0,EXPD
2024-03-27,119.78473663330078,649400,0.0,EXPD
2024-03-28,120.11077880859376,797500,0.0,EXPD
2024-04-01,117.64078521728516,749100,0.0,EXPD
2024-04-02,116.1884307861328,1068700,0.0,EXPD
2024-04-03,116.2872314453125,848700,0.0,EXPD
2024-04-04,114.7558364868164,808100,0.0,EXPD
2024-04-05,115.94143676757812,789600,0.0,EXPD
2024-04-08,116.87015533447266,797100,0.0,EXPD
2024-04-09,119.54762268066406,1376900,0.0,EXPD
2024-04-10,116.89978790283205,839200,0.0,EXPD
2024-04-11,117.33451080322266,1091000,0.0,EXPD
2024-04-12,116.23783111572266,939700,0.0,EXPD
2024-04-15,115.30911254882812,1219300,0.0,EXPD
2024-04-16,114.2815933227539,1316100,0.0,EXPD
2024-04-17,112.96755981445312,1010100,0.0,EXPD
2024-04-18,113.3825225830078,835800,0.0,EXPD
2024-04-19,113.23432159423828,3321000,0.0,EXPD
2024-04-22,112.72056579589844,1004400,0.0,EXPD
2024-04-23,111.71280670166016,1389100,0.0,EXPD
2024-04-24,111.51520538330078,1377400,0.0,EXPD
2024-04-25,111.7918472290039,1619100,0.0,EXPD
2024-04-26,111.94004821777344,1051200,0.0,EXPD
2024-04-29,112.42416381835938,1489600,0.0,EXPD
2024-04-30,109.97393035888672,2176300,0.0,EXPD
2024-05-01,110.64576721191406,1366200,0.0,EXPD
2024-05-02,112.542724609375,1681200,0.0,EXPD
2024-05-03,113.58011627197266,1541400,0.0,EXPD
2024-05-06,114.25196075439452,2205500,0.0,EXPD
2024-05-07,113.52084350585938,2222500,0.0,EXPD
2024-05-08,115.42767333984376,1453200,0.0,EXPD
2024-05-09,115.62527465820312,923300,0.0,EXPD
2024-05-10,116.90966796875,922200,0.0,EXPD
2024-05-13,116.19831085205078,906600,0.0,EXPD
2024-05-14,116.10939025878906,1153800,0.0,EXPD
2024-05-15,116.39591217041016,773800,0.0,EXPD
2024-05-16,116.22795104980467,816400,0.0,EXPD
2024-05-17,116.48483276367188,865200,0.0,EXPD
2024-05-20,116.98871612548828,919700,0.0,EXPD
2024-05-21,116.30699157714844,968200,0.0,EXPD
2024-05-22,115.79322814941406,955700,0.0,EXPD
2024-05-23,115.28936004638672,1378100,0.0,EXPD
2024-05-24,116.54411315917967,927500,0.0,EXPD
2024-05-28,117.6605453491211,1802000,0.0,EXPD
2024-05-29,116.40579223632812,1485900,0.0,EXPD
2024-05-30,118.77698516845705,1307900,0.0,EXPD
2024-05-31,119.44882202148438,6036300,0.0,EXPD
2024-06-03,120.48258209228516,1401300,0.0,EXPD
2024-06-04,121.60579681396484,1610100,0.0,EXPD
2024-06-05,125.5420379638672,1808500,0.0,EXPD
2024-06-06,124.76671600341795,1173900,0.0,EXPD
2024-06-07,124.7170181274414,1514800,0.0,EXPD
2024-06-10,126.0489730834961,1243300,0.0,EXPD
2024-06-11,123.66338348388672,1171300,0.0,EXPD
2024-06-12,124.53810119628906,1022400,0.0,EXPD
2024-06-13,123.54409790039062,1103000,0.0,EXPD
2024-06-14,122.64949798583984,1225000,0.0,EXPD
2024-06-17,122.98746490478516,1064200,0.0,EXPD
2024-06-18,123.78266143798828,1362700,0.0,EXPD
2024-06-20,125.49234008789062,1209200,0.0,EXPD
2024-06-21,125.66131591796876,5508300,0.0,EXPD
2024-06-24,126.21795654296876,1645000,0.0,EXPD
2024-06-25,125.8402328491211,1153100,0.0,EXPD
2024-06-26,126.49627685546876,1203900,0.0,EXPD
2024-06-27,125.23389434814452,1020500,0.0,EXPD
2024-06-28,124.04109954833984,2096600,0.0,EXPD
2024-07-01,120.14462280273438,1119000,0.0,EXPD
2024-07-02,120.49252319335938,973200,0.0,EXPD
2024-07-03,123.1067352294922,881700,0.0,EXPD
2024-07-05,122.70913696289062,791300,0.0,EXPD
2024-07-08,119.19039154052734,967300,0.0,EXPD
2024-07-09,117.93795013427734,1106000,0.0,EXPD
2024-07-10,119.84642028808594,794000,0.0,EXPD
2024-07-11,122.04315948486328,1180400,0.0,EXPD
2024-07-12,119.17050170898438,2130400,0.0,EXPD
2024-07-15,118.31566619873048,2007300,0.0,EXPD
2024-07-16,120.8702392578125,2312900,0.0,EXPD
2024-07-17,120.0849838256836,1676000,0.0,EXPD
2024-07-18,119.56810760498048,1242400,0.0,EXPD
2024-07-19,119.4786376953125,3151700,0.0,EXPD
2024-07-22,122.23202514648438,1251900,0.0,EXPD
2024-07-23,123.12662506103516,1060600,0.0,EXPD
2024-07-24,123.28565979003906,1024200,0.0,EXPD
2024-07-25,124.10073852539062,1070700,0.0,EXPD
2024-07-26,123.43476104736328,912900,0.0,EXPD
