Date,Close,Volume,Stock Splits,Ticker
2023-12-19,71.1500015258789,1785400,0.0,HOLX
2023-12-20,70.31999969482422,1375600,0.0,HOLX
2023-12-21,71.06999969482422,1030100,0.0,HOLX
2023-12-22,71.04000091552734,1392000,0.0,HOLX
2023-12-26,71.11000061035156,734500,0.0,HOLX
2023-12-27,70.94000244140625,1367200,0.0,HOLX
2023-12-28,71.26000213623047,873100,0.0,HOLX
2023-12-29,71.44999694824219,1122200,0.0,HOLX
2024-01-02,72.45999908447266,2005100,0.0,HOLX
2024-01-03,72.37000274658203,2911100,0.0,HOLX
2024-01-04,72.87000274658203,2261200,0.0,HOLX
2024-01-05,72.94999694824219,1793600,0.0,HOLX
2024-01-08,71.33000183105469,2749200,0.0,HOLX
2024-01-09,72.12000274658203,1991500,0.0,HOLX
2024-01-10,71.83000183105469,1506200,0.0,HOLX
2024-01-11,72.43000030517578,2123000,0.0,HOLX
2024-01-12,72.75,1701400,0.0,HOLX
2024-01-16,72.88999938964844,1760700,0.0,HOLX
2024-01-17,73.05000305175781,1275400,0.0,HOLX
2024-01-18,73.55000305175781,1167000,0.0,HOLX
2024-01-19,73.5199966430664,1193300,0.0,HOLX
2024-01-22,74.04000091552734,1084800,0.0,HOLX
2024-01-23,74.70999908447266,1440400,0.0,HOLX
2024-01-24,74.08999633789062,1540500,0.0,HOLX
2024-01-25,74.13999938964844,1713300,0.0,HOLX
2024-01-26,74.41000366210938,1816200,0.0,HOLX
2024-01-29,74.9800033569336,1571100,0.0,HOLX
2024-01-30,74.93000030517578,1410800,0.0,HOLX
2024-01-31,74.44000244140625,2461200,0.0,HOLX
2024-02-01,74.41000366210938,1861300,0.0,HOLX
2024-02-02,72.44000244140625,4242500,0.0,HOLX
2024-02-05,72.04000091552734,2840300,0.0,HOLX
2024-02-06,74.16999816894531,2697500,0.0,HOLX
2024-02-07,73.8499984741211,2266900,0.0,HOLX
2024-02-08,73.43000030517578,1886900,0.0,HOLX
2024-02-09,73.44000244140625,1534500,0.0,HOLX
2024-02-12,74.05999755859375,1571800,0.0,HOLX
2024-02-13,73.2699966430664,1735000,0.0,HOLX
2024-02-14,73.1500015258789,1766000,0.0,HOLX
2024-02-15,73.80000305175781,2418700,0.0,HOLX
2024-02-16,73.79000091552734,2946600,0.0,HOLX
2024-02-20,74.58000183105469,1452500,0.0,HOLX
2024-02-21,75.81999969482422,1971000,0.0,HOLX
2024-02-22,75.87999725341797,1479500,0.0,HOLX
2024-02-23,76.1500015258789,1417900,0.0,HOLX
2024-02-26,74.80999755859375,1657200,0.0,HOLX
2024-02-27,75.36000061035156,1524600,0.0,HOLX
2024-02-28,74.12000274658203,1866300,0.0,HOLX
2024-02-29,73.80000305175781,2114700,0.0,HOLX
2024-03-01,73.6500015258789,1358000,0.0,HOLX
2024-03-04,74.5999984741211,1533100,0.0,HOLX
2024-03-05,73.76000213623047,1410200,0.0,HOLX
2024-03-06,75.19999694824219,1543900,0.0,HOLX
2024-03-07,76.31999969482422,1573500,0.0,HOLX
2024-03-08,77.05000305175781,1417300,0.0,HOLX
