Date,Close,Volume,Stock Splits,Ticker
2023-12-19,55.58000183105469,4203800,0.0,MNST
2023-12-20,54.36000061035156,4820400,0.0,MNST
2023-12-21,55.380001068115234,4323800,0.0,MNST
2023-12-22,56.0099983215332,3942500,0.0,MNST
2023-12-26,56.790000915527344,3469100,0.0,MNST
2023-12-27,57.34000015258789,3606200,0.0,MNST
2023-12-28,57.41999816894531,3344700,0.0,MNST
2023-12-29,57.61000061035156,4061400,0.0,MNST
2024-01-02,58.59000015258789,8150000,0.0,MNST
2024-01-03,57.47999954223633,6954500,0.0,MNST
2024-01-04,57.709999084472656,4984400,0.0,MNST
2024-01-05,57.540000915527344,3741700,0.0,MNST
2024-01-08,57.959999084472656,5764300,0.0,MNST
2024-01-09,58.7400016784668,5042900,0.0,MNST
2024-01-10,58.90999984741211,4436100,0.0,MNST
2024-01-11,58.630001068115234,4159300,0.0,MNST
2024-01-12,59.04999923706055,4024800,0.0,MNST
2024-01-16,58.16999816894531,5783100,0.0,MNST
2024-01-17,57.11000061035156,8595300,0.0,MNST
2024-01-18,57.25,4800400,0.0,MNST
2024-01-19,57.18000030517578,5450200,0.0,MNST
2024-01-22,56.31999969482422,4294200,0.0,MNST
2024-01-23,55.56999969482422,7050000,0.0,MNST
2024-01-24,55.06999969482422,9574700,0.0,MNST
2024-01-25,55.13999938964844,5711600,0.0,MNST
2024-01-26,55.43999862670898,5273100,0.0,MNST
2024-01-29,55.59000015258789,5736000,0.0,MNST
2024-01-30,55.310001373291016,4704200,0.0,MNST
2024-01-31,55.02000045776367,5908100,0.0,MNST
2024-02-01,55.93999862670898,5619500,0.0,MNST
2024-02-02,55.34999847412109,5481800,0.0,MNST
2024-02-05,55.119998931884766,4768700,0.0,MNST
2024-02-06,56.34000015258789,7407000,0.0,MNST
2024-02-07,56.459999084472656,4315100,0.0,MNST
2024-02-08,56.4900016784668,4253900,0.0,MNST
2024-02-09,55.65999984741211,3893900,0.0,MNST
2024-02-12,55.93000030517578,3497800,0.0,MNST
2024-02-13,56.15999984741211,5970700,0.0,MNST
2024-02-14,55.869998931884766,3981900,0.0,MNST
2024-02-15,56.16999816894531,5553100,0.0,MNST
2024-02-16,55.02000045776367,6077600,0.0,MNST
2024-02-20,55.400001525878906,5620400,0.0,MNST
2024-02-21,55.13999938964844,5714600,0.0,MNST
2024-02-22,55.11000061035156,6579700,0.0,MNST
2024-02-23,55.290000915527344,3308000,0.0,MNST
2024-02-26,55.720001220703125,4876700,0.0,MNST
2024-02-27,56.11000061035156,4200900,0.0,MNST
2024-02-28,55.84999847412109,6789500,0.0,MNST
2024-02-29,59.09999847412109,11115500,0.0,MNST
2024-03-01,58.790000915527344,6401900,0.0,MNST
2024-03-04,58.5,6993100,0.0,MNST
2024-03-05,57.88999938964844,5846400,0.0,MNST
2024-03-06,58.310001373291016,6487300,0.0,MNST
2024-03-07,59.380001068115234,4683300,0.0,MNST
2024-03-08,59.18000030517578,4294300,0.0,MNST
2024-03-11,59.15999984741211,3307600,0.0,MNST
2024-03-12,59.81999969482422,3761300,0.0,MNST
2024-03-13,60.84999847412109,5953700,0.0,MNST
2024-03-14,60.29999923706055,3927100,0.0,MNST
2024-03-15,60.45000076293945,8046500,0.0,MNST
2024-03-18,60.790000915527344,3923400,0.0,MNST
2024-03-19,60.540000915527344,3342100,0.0,MNST
2024-03-20,60.13999938964844,3336100,0.0,MNST
2024-03-21,59.880001068115234,3328600,0.0,MNST
2024-03-22,59.5,3034100,0.0,MNST
2024-03-25,59.09000015258789,3938400,0.0,MNST
2024-03-26,59.31999969482422,2835800,0.0,MNST
2024-03-27,59.20000076293945,3495300,0.0,MNST
2024-03-28,59.27999877929688,4469600,0.0,MNST
2024-04-01,57.7400016784668,5369100,0.0,MNST
2024-04-02,56.900001525878906,5987100,0.0,MNST
2024-04-03,55.95000076293945,4726000,0.0,MNST
2024-04-04,55.75,5565700,0.0,MNST
2024-04-05,55.900001525878906,4847700,0.0,MNST
2024-04-08,55.650001525878906,4264900,0.0,MNST
2024-04-09,55.75,3868700,0.0,MNST
2024-04-10,54.810001373291016,6271900,0.0,MNST
2024-04-11,54.72999954223633,4527700,0.0,MNST
2024-04-12,55.0099983215332,5634400,0.0,MNST
2024-04-15,54.11000061035156,8889900,0.0,MNST
2024-04-16,54.68999862670898,6219000,0.0,MNST
2024-04-17,54.25,5931300,0.0,MNST
2024-04-18,53.459999084472656,4757100,0.0,MNST
2024-04-19,53.13999938964844,10405100,0.0,MNST
2024-04-22,53.59999847412109,4430400,0.0,MNST
2024-04-23,53.72999954223633,5641800,0.0,MNST
2024-04-24,54.33000183105469,6944700,0.0,MNST
2024-04-25,53.150001525878906,7483000,0.0,MNST
2024-04-26,53.369998931884766,4204600,0.0,MNST
2024-04-29,54.130001068115234,4163700,0.0,MNST
2024-04-30,53.45000076293945,5652600,0.0,MNST
2024-05-01,53.540000915527344,7359000,0.0,MNST
2024-05-02,53.38999938964844,6294000,0.0,MNST
2024-05-03,55.0,12204600,0.0,MNST
2024-05-06,54.220001220703125,10088100,0.0,MNST
2024-05-07,54.66999816894531,8678900,0.0,MNST
2024-05-08,54.29999923706055,6912300,0.0,MNST
2024-05-09,55.20000076293945,4367700,0.0,MNST
2024-05-10,55.459999084472656,3958900,0.0,MNST
2024-05-13,54.720001220703125,4951000,0.0,MNST
2024-05-14,54.47999954223633,11345600,0.0,MNST
2024-05-15,54.2400016784668,5932100,0.0,MNST
2024-05-16,54.09000015258789,4177500,0.0,MNST
2024-05-17,54.11000061035156,5243000,0.0,MNST
2024-05-20,53.58000183105469,6300000,0.0,MNST
2024-05-21,53.380001068115234,5536400,0.0,MNST
2024-05-22,53.09999847412109,6566200,0.0,MNST
2024-05-23,52.63999938964844,6978800,0.0,MNST
2024-05-24,52.70000076293945,7137600,0.0,MNST
2024-05-28,51.650001525878906,10855700,0.0,MNST
2024-05-29,52.130001068115234,14571400,0.0,MNST
2024-05-30,51.2400016784668,15555800,0.0,MNST
2024-05-31,51.91999816894531,20482800,0.0,MNST
2024-06-03,51.88999938964844,26613800,0.0,MNST
2024-06-04,52.18999862670898,26337600,0.0,MNST
2024-06-05,52.0,36709500,0.0,MNST
2024-06-06,52.45000076293945,35094400,0.0,MNST
2024-06-07,52.68999862670898,18586500,0.0,MNST
2024-06-10,51.0,20168200,0.0,MNST
2024-06-11,51.15999984741211,16163500,0.0,MNST
2024-06-12,49.77000045776367,27290100,0.0,MNST
2024-06-13,48.720001220703125,14660700,0.0,MNST
2024-06-14,48.02999877929688,10690800,0.0,MNST
2024-06-17,49.130001068115234,8492300,0.0,MNST
2024-06-18,48.41999816894531,9376700,0.0,MNST
2024-06-20,48.68000030517578,8622000,0.0,MNST
2024-06-21,49.09000015258789,16238000,0.0,MNST
2024-06-24,49.4900016784668,9290000,0.0,MNST
2024-06-25,50.13999938964844,7534400,0.0,MNST
2024-06-26,50.459999084472656,6302700,0.0,MNST
2024-06-27,50.56999969482422,4226700,0.0,MNST
2024-06-28,49.95000076293945,11843300,0.0,MNST
2024-07-01,49.900001525878906,4963700,0.0,MNST
2024-07-02,49.34000015258789,6283100,0.0,MNST
2024-07-03,49.15999984741211,4172700,0.0,MNST
2024-07-05,49.75,6076700,0.0,MNST
2024-07-08,50.18000030517578,6863200,0.0,MNST
2024-07-09,49.79999923706055,5851600,0.0,MNST
2024-07-10,49.84999847412109,4938200,0.0,MNST
2024-07-11,50.27999877929688,6503400,0.0,MNST
2024-07-12,50.83000183105469,5274100,0.0,MNST
2024-07-15,49.86000061035156,5467400,0.0,MNST
2024-07-16,50.4900016784668,4105900,0.0,MNST
2024-07-17,50.720001220703125,5366400,0.0,MNST
2024-07-18,51.0099983215332,6396200,0.0,MNST
2024-07-19,50.88999938964844,4851000,0.0,MNST
2024-07-22,50.36000061035156,5654600,0.0,MNST
2024-07-23,50.310001373291016,6159700,0.0,MNST
2024-07-24,49.59000015258789,7109700,0.0,MNST
2024-07-25,50.09999847412109,6462500,0.0,MNST
2024-07-26,51.0,3803200,0.0,MNST
2024-07-29,51.27000045776367,4880200,0.0,MNST
2024-07-30,51.56999969482422,4024800,0.0,MNST
2024-07-31,51.45000076293945,6978200,0.0,MNST
2024-08-01,51.380001068115234,4816000,0.0,MNST
