Date,Close,Volume,Stock Splits,Ticker
2023-12-19,239.8490600585937,932800,0.0,TT
2023-12-20,236.6351013183593,917400,0.0,TT
2023-12-21,241.4461364746093,824600,0.0,TT
2023-12-22,240.4541778564453,722800,0.0,TT
2023-12-26,241.78341674804688,403300,0.0,TT
2023-12-27,241.99172973632807,595400,0.0,TT
2023-12-28,241.8528594970703,652500,0.0,TT
2023-12-29,241.942123413086,755500,0.0,TT
2024-01-02,238.6983795166016,963500,0.0,TT
2024-01-03,234.0658721923828,1306500,0.0,TT
2024-01-04,237.7659454345703,1256500,0.0,TT
2024-01-05,238.6289520263672,963600,0.0,TT
2024-01-08,241.1783142089844,770800,0.0,TT
2024-01-09,242.52740478515625,767000,0.0,TT
2024-01-10,243.9062347412109,860600,0.0,TT
2024-01-11,244.015365600586,1060500,0.0,TT
2024-01-12,244.174072265625,553000,0.0,TT
2024-01-16,243.54913330078125,896500,0.0,TT
2024-01-17,242.46788024902344,804700,0.0,TT
2024-01-18,245.3446044921875,611800,0.0,TT
2024-01-19,246.9218292236328,788000,0.0,TT
2024-01-22,250.60206604003903,654400,0.0,TT
2024-01-23,251.1178741455078,1521300,0.0,TT
2024-01-24,249.1140899658203,1109200,0.0,TT
2024-01-25,250.0961456298828,1127100,0.0,TT
2024-01-26,249.4910430908203,885900,0.0,TT
2024-01-29,252.7149658203125,914400,0.0,TT
2024-01-30,255.68093872070312,2054000,0.0,TT
2024-01-31,250.02671813964844,2112000,0.0,TT
2024-02-01,268.5666809082031,2456800,0.0,TT
2024-02-02,274.55816650390625,1874800,0.0,TT
2024-02-05,269.6181640625,1195400,0.0,TT
2024-02-06,268.060791015625,1144000,0.0,TT
2024-02-07,271.235107421875,1395300,0.0,TT
2024-02-08,267.7731018066406,1678000,0.0,TT
2024-02-09,273.2289428710937,959500,0.0,TT
2024-02-12,269.8363647460937,874300,0.0,TT
2024-02-13,267.20770263671875,1089100,0.0,TT
2024-02-14,270.6200561523437,741900,0.0,TT
2024-02-15,270.7688293457031,717900,0.0,TT
2024-02-16,269.9852294921875,855500,0.0,TT
2024-02-20,273.9432067871094,1347800,0.0,TT
2024-02-21,274.3498840332031,1003700,0.0,TT
2024-02-22,280.0140380859375,1584800,0.0,TT
2024-02-23,279.5577392578125,716900,0.0,TT
2024-02-26,282.5435791015625,1070100,0.0,TT
2024-02-27,281.2440490722656,714400,0.0,TT
2024-02-28,281.3631591796875,996500,0.0,TT
2024-02-29,280.537353515625,1595900,0.0,TT
2024-03-01,284.5269775390625,1089300,0.0,TT
2024-03-04,286.6660461425781,929700,0.0,TT
2024-03-05,282.6167297363281,953100,0.0,TT
2024-03-06,284.8851318359375,949800,0.0,TT
2024-03-07,285.989501953125,506500,0.0,TT
2024-03-08,283.4027404785156,596100,0.0,TT
2024-03-11,281.4825439453125,598200,0.0,TT
2024-03-12,286.2481994628906,789700,0.0,TT
2024-03-13,284.47723388671875,1193100,0.0,TT
2024-03-14,290.4566955566406,1347500,0.0,TT
2024-03-15,289.92938232421875,1607000,0.0,TT
2024-03-18,290.2875671386719,637500,0.0,TT
2024-03-19,293.531005859375,650600,0.0,TT
2024-03-20,297.1027526855469,823200,0.0,TT
2024-03-21,302.3459777832031,1126400,0.0,TT
2024-03-22,298.7642517089844,1064000,0.0,TT
2024-03-25,298.10760498046875,592500,0.0,TT
2024-03-26,297.7593994140625,469200,0.0,TT
2024-03-27,298.1872253417969,607000,0.0,TT
2024-03-28,298.6747436523437,754000,0.0,TT
2024-04-01,295.22235107421875,884800,0.0,TT
2024-04-02,295.9984130859375,1134400,0.0,TT
2024-04-03,299.8089294433594,734000,0.0,TT
2024-04-04,295.9984130859375,764400,0.0,TT
2024-04-05,303.1220397949219,811400,0.0,TT
2024-04-08,302.2962341308594,673400,0.0,TT
2024-04-09,299.6895446777344,911300,0.0,TT
2024-04-10,297.023193359375,648800,0.0,TT
2024-04-11,295.7297668457031,834700,0.0,TT
2024-04-12,295.451171875,996300,0.0,TT
2024-04-15,292.3868408203125,844800,0.0,TT
2024-04-16,294.1279602050781,752200,0.0,TT
2024-04-17,291.6008605957031,883500,0.0,TT
2024-04-18,288.0887756347656,649900,0.0,TT
2024-04-19,286.8053283691406,800800,0.0,TT
2024-04-22,289.6706848144531,1009400,0.0,TT
2024-04-23,293.5906982421875,1031900,0.0,TT
2024-04-24,294.98358154296875,908000,0.0,TT
2024-04-25,297.84893798828125,1401700,0.0,TT
2024-04-26,302.98272705078125,961800,0.0,TT
2024-04-29,299.33135986328125,1878100,0.0,TT
2024-04-30,315.7276306152344,2419600,0.0,TT
2024-05-01,313.379638671875,1378700,0.0,TT
2024-05-02,315.180419921875,1153200,0.0,TT
2024-05-03,317.667724609375,1074500,0.0,TT
2024-05-06,324.0849609375,707000,0.0,TT
2024-05-07,324.2342224121094,796100,0.0,TT
2024-05-08,325.9355163574219,647400,0.0,TT
2024-05-09,331.2284851074219,807600,0.0,TT
2024-05-10,330.2932434082031,744900,0.0,TT
2024-05-13,324.9804077148437,785600,0.0,TT
2024-05-14,328.38299560546875,861400,0.0,TT
2024-05-15,330.6017150878906,912500,0.0,TT
2024-05-16,323.0701599121094,1220400,0.0,TT
2024-05-17,326.9702453613281,908400,0.0,TT
2024-05-20,329.22869873046875,835600,0.0,TT
2024-05-21,333.8749389648437,822100,0.0,TT
2024-05-22,331.8353576660156,728300,0.0,TT
2024-05-23,331.2284851074219,720500,0.0,TT
2024-05-24,336.2030944824219,539700,0.0,TT
2024-05-28,326.64190673828125,1103900,0.0,TT
2024-05-29,320.4336242675781,1147400,0.0,TT
2024-05-30,323.3487243652344,1275200,0.0,TT
2024-05-31,325.79620361328125,1884500,0.0,TT
2024-06-03,319.8664855957031,1051500,0.0,TT
2024-06-04,317.906494140625,1038500,0.0,TT
2024-06-05,321.60760498046875,1346700,0.0,TT
2024-06-06,316.8419494628906,1218600,0.0,TT
2024-06-07,318.2485046386719,925400,0.0,TT
2024-06-10,324.2836608886719,1256100,0.0,TT
2024-06-11,324.3235778808594,1112600,0.0,TT
2024-06-12,331.31640625,2140700,0.0,TT
2024-06-13,332.7528686523437,1308900,0.0,TT
2024-06-14,328.83251953125,875900,0.0,TT
2024-06-17,334.4886169433594,1217900,0.0,TT
2024-06-18,344.5339660644531,1569400,0.0,TT
2024-06-20,335.1070861816406,1720800,0.0,TT
2024-06-21,333.301513671875,1879200,0.0,TT
2024-06-24,337.31170654296875,1043500,0.0,TT
2024-06-25,334.7779235839844,839700,0.0,TT
2024-06-26,328.95220947265625,1317300,0.0,TT
2024-06-27,332.8326721191406,1017400,0.0,TT
2024-06-28,328.1242370605469,5613400,0.0,TT
2024-07-01,320.5727844238281,1599000,0.0,TT
2024-07-02,324.0342712402344,1562600,0.0,TT
2024-07-03,330.4784851074219,687800,0.0,TT
2024-07-05,330.86749267578125,1435200,0.0,TT
2024-07-08,332.7030029296875,770600,0.0,TT
2024-07-09,332.9224548339844,991300,0.0,TT
2024-07-10,339.9851379394531,893700,0.0,TT
2024-07-11,343.7159423828125,904500,0.0,TT
2024-07-12,342.9678039550781,1135100,0.0,TT
2024-07-15,340.1646728515625,1096700,0.0,TT
2024-07-16,345.4716491699219,1341800,0.0,TT
2024-07-17,334.6182861328125,1199600,0.0,TT
2024-07-18,329.5606994628906,1537600,0.0,TT
2024-07-19,329.331298828125,1397900,0.0,TT
2024-07-22,336.27423095703125,1462200,0.0,TT
2024-07-23,344.1149597167969,1159000,0.0,TT
2024-07-24,332.024658203125,1514100,0.0,TT
2024-07-25,321.4306945800781,2429000,0.0,TT
2024-07-26,328.9023132324219,1232300,0.0,TT
2024-07-29,331.027099609375,1050200,0.0,TT
2024-07-30,328.02447509765625,1343500,0.0,TT
2024-07-31,333.4611511230469,2500300,0.0,TT
2024-08-01,332.5134582519531,1335800,0.0,TT
2024-08-02,317.669921875,2070100,0.0,TT
2024-08-05,313.4403076171875,2114500,0.0,TT
2024-08-06,322.1189880371094,1295500,0.0,TT
2024-08-07,322.6875915527344,1208900,0.0,TT
2024-08-08,326.8274230957031,1044100,0.0,TT
2024-08-09,331.86505126953125,1090100,0.0,TT
2024-08-12,332.0745544433594,821700,0.0,TT
2024-08-13,338.568603515625,887000,0.0,TT
2024-08-14,344.87310791015625,1105900,0.0,TT
2024-08-15,346.9978942871094,875000,0.0,TT
2024-08-16,340.46392822265625,969900,0.0,TT
2024-08-19,346.1399841308594,757000,0.0,TT
2024-08-20,346.818359375,655400,0.0,TT
2024-08-21,350.7985534667969,633200,0.0,TT
2024-08-22,349.85089111328125,997600,0.0,TT
2024-08-23,352.0455017089844,871000,0.0,TT
2024-08-26,349.7710876464844,635100,0.0,TT
2024-08-27,351.69635009765625,932100,0.0,TT
2024-08-28,351.4569396972656,534400,0.0,TT
2024-08-29,354.1503295898437,919700,0.0,TT
2024-08-30,360.7740783691406,2192400,0.0,TT
2024-09-03,345.3319702148437,1204100,0.0,TT
2024-09-04,345.6811218261719,707200,0.0,TT
2024-09-05,342.07000732421875,921000,0.0,TT
2024-09-06,342.07000732421875,1239300,0.0,TT
2024-09-09,345.29998779296875,1080600,0.0,TT
2024-09-10,346.1300048828125,1206400,0.0,TT
2024-09-11,354.3099975585937,947600,0.0,TT
2024-09-12,359.6700134277344,873400,0.0,TT
2024-09-13,364.2300109863281,1059200,0.0,TT
2024-09-16,368.8900146484375,1447600,0.0,TT
2024-09-17,374.6000061035156,1129500,0.0,TT
2024-09-18,371.5899963378906,958500,0.0,TT
2024-09-19,381.3900146484375,719400,0.0,TT
2024-09-20,384.9299926757813,1913000,0.0,TT
2024-09-23,387.3800048828125,875500,0.0,TT
2024-09-24,383.75,926800,0.0,TT
2024-09-25,387.7000122070313,807600,0.0,TT
2024-09-26,386.5700073242188,831700,0.0,TT
2024-09-27,383.9500122070313,1195700,0.0,TT
2024-09-30,388.7300109863281,1278500,0.0,TT
2024-10-01,386.6300048828125,945700,0.0,TT
2024-10-02,387.8500061035156,728800,0.0,TT
2024-10-03,386.9299926757813,858000,0.0,TT
2024-10-04,388.3599853515625,595800,0.0,TT
2024-10-07,390.3299865722656,629900,0.0,TT
2024-10-08,396.5,1227400,0.0,TT
2024-10-09,399.7200012207031,833700,0.0,TT
2024-10-10,393.4599914550781,710700,0.0,TT
2024-10-11,399.8599853515625,655200,0.0,TT
2024-10-14,404.9700012207031,688900,0.0,TT
2024-10-15,397.5,1155800,0.0,TT
2024-10-16,395.239990234375,1519100,0.0,TT
2024-10-17,400.1400146484375,1029100,0.0,TT
2024-10-18,402.5400085449219,879800,0.0,TT
2024-10-21,400.7999877929688,659800,0.0,TT
2024-10-22,392.2000122070313,1373600,0.0,TT
2024-10-23,395.8299865722656,1037200,0.0,TT
2024-10-24,392.5700073242188,845200,0.0,TT
2024-10-25,392.5700073242188,600600,0.0,TT
2024-10-28,392.760009765625,830100,0.0,TT
2024-10-29,390.5899963378906,1608300,0.0,TT
2024-10-30,375.5199890136719,2132900,0.0,TT
2024-10-31,370.1600036621094,2189200,0.0,TT
2024-11-01,376.1499938964844,1550900,0.0,TT
2024-11-04,376.989990234375,1137600,0.0,TT
2024-11-05,390.2900085449219,1599800,0.0,TT
2024-11-06,391.8599853515625,1989000,0.0,TT
2024-11-07,395.9200134277344,990300,0.0,TT
2024-11-08,410.5799865722656,1528200,0.0,TT
2024-11-11,414.9200134277344,1643500,0.0,TT
2024-11-12,411.1400146484375,1418200,0.0,TT
2024-11-13,415.0,1134900,0.0,TT
2024-11-14,410.1199951171875,884900,0.0,TT
2024-11-15,407.489990234375,958400,0.0,TT
2024-11-18,409.2699890136719,917900,0.0,TT
2024-11-19,413.0299987792969,758300,0.0,TT
2024-11-20,411.1600036621094,811100,0.0,TT
2024-11-21,415.3900146484375,1088900,0.0,TT
2024-11-22,417.489990234375,896200,0.0,TT
2024-11-25,413.3200073242188,2400900,0.0,TT
2024-11-26,419.1400146484375,1229900,0.0,TT
2024-11-27,416.0899963378906,889200,0.0,TT
2024-11-29,416.2200012207031,810500,0.0,TT
2024-12-02,414.7900085449219,1067100,0.0,TT
2024-12-03,412.55999755859375,1420600,0.0,TT
2024-12-04,417.4800109863281,1191100,0.0,TT
2024-12-05,415.05999755859375,1072500,0.0,TT
2024-12-06,412.1799926757813,952300,0.0,TT
2024-12-09,401.6400146484375,1712700,0.0,TT
2024-12-10,397.4200134277344,1299000,0.0,TT
2024-12-11,400.1300048828125,867100,0.0,TT
2024-12-12,399.6600036621094,995100,0.0,TT
2024-12-13,399.3599853515625,852600,0.0,TT
2024-12-16,398.3699951171875,1314000,0.0,TT
2024-12-17,391.7900085449219,1608900,0.0,TT
2024-12-18,378.4500122070313,1288000,0.0,TT
2024-12-19,376.8999938964844,1289689,0.0,TT
2024-12-20,377.1099853515625,2647400,0.0,TT
2024-12-23,377.489990234375,709225,0.0,TT
2024-12-24,379.9299926757813,287800,0.0,TT
2024-12-26,378.0400085449219,349300,0.0,TT
2024-12-27,373.5299987792969,509517,0.0,TT
2025-01-02,373.8399963378906,1590158,0.0,TT
2025-01-03,381.1099853515625,1083609,0.0,TT
