Date,Close,Volume,Stock Splits,Ticker
2023-12-19,269.4200134277344,467000,0.0,ZBRA
2023-12-20,261.6099853515625,332800,0.0,ZBRA
2023-12-21,265.3099975585937,282500,0.0,ZBRA
2023-12-22,269.4100036621094,225900,0.0,ZBRA
2023-12-26,275.5,220000,0.0,ZBRA
2023-12-27,275.7900085449219,275700,0.0,ZBRA
2023-12-28,275.3500061035156,193900,0.0,ZBRA
2023-12-29,273.3299865722656,251300,0.0,ZBRA
2024-01-02,267.9800109863281,452900,0.0,ZBRA
2024-01-03,252.5200042724609,404800,0.0,ZBRA
2024-01-04,252.97000122070312,358100,0.0,ZBRA
2024-01-05,252.69000244140625,293500,0.0,ZBRA
2024-01-08,261.0899963378906,399500,0.0,ZBRA
2024-01-09,256.44000244140625,326600,0.0,ZBRA
2024-01-10,255.2700042724609,276900,0.0,ZBRA
2024-01-11,255.02999877929688,380900,0.0,ZBRA
2024-01-12,248.8699951171875,625600,0.0,ZBRA
2024-01-16,243.5200042724609,498300,0.0,ZBRA
2024-01-17,239.1699981689453,463200,0.0,ZBRA
2024-01-18,249.58999633789065,482200,0.0,ZBRA
2024-01-19,249.08999633789065,397600,0.0,ZBRA
2024-01-22,254.57000732421875,357600,0.0,ZBRA
2024-01-23,256.0899963378906,211800,0.0,ZBRA
2024-01-24,254.1699981689453,522100,0.0,ZBRA
2024-01-25,256.989990234375,334200,0.0,ZBRA
2024-01-26,252.1699981689453,268300,0.0,ZBRA
2024-01-29,255.92999267578125,493200,0.0,ZBRA
2024-01-30,250.9100036621093,302100,0.0,ZBRA
2024-01-31,239.5500030517578,482600,0.0,ZBRA
2024-02-01,242.6000061035156,474100,0.0,ZBRA
2024-02-02,246.47999572753903,418600,0.0,ZBRA
2024-02-05,242.07000732421875,336200,0.0,ZBRA
2024-02-06,242.4900054931641,497100,0.0,ZBRA
2024-02-07,247.1100006103516,522900,0.0,ZBRA
2024-02-08,247.1199951171875,318700,0.0,ZBRA
2024-02-09,253.08999633789065,328600,0.0,ZBRA
2024-02-12,259.3999938964844,395800,0.0,ZBRA
2024-02-13,245.8000030517578,692200,0.0,ZBRA
2024-02-14,252.9600067138672,567200,0.0,ZBRA
2024-02-15,283.75,1184700,0.0,ZBRA
2024-02-16,275.4599914550781,658200,0.0,ZBRA
2024-02-20,271.92999267578125,523800,0.0,ZBRA
2024-02-21,274.42999267578125,375000,0.0,ZBRA
2024-02-22,279.4800109863281,302400,0.0,ZBRA
2024-02-23,274.989990234375,269300,0.0,ZBRA
2024-02-26,278.0599975585937,336900,0.0,ZBRA
2024-02-27,275.7799987792969,194600,0.0,ZBRA
2024-02-28,272.79998779296875,212900,0.0,ZBRA
2024-02-29,279.4800109863281,400900,0.0,ZBRA
2024-03-01,289.6400146484375,413200,0.0,ZBRA
2024-03-04,291.6499938964844,442500,0.0,ZBRA
2024-03-05,284.5400085449219,306700,0.0,ZBRA
2024-03-06,287.2699890136719,182100,0.0,ZBRA
2024-03-07,288.5899963378906,246600,0.0,ZBRA
2024-03-08,282.5899963378906,328600,0.0,ZBRA
2024-03-11,280.2300109863281,268800,0.0,ZBRA
2024-03-12,285.44000244140625,316100,0.0,ZBRA
2024-03-13,284.5,286200,0.0,ZBRA
2024-03-14,281.7699890136719,375300,0.0,ZBRA
2024-03-15,285.8599853515625,539300,0.0,ZBRA
2024-03-18,285.9700012207031,329300,0.0,ZBRA
2024-03-19,285.19000244140625,306000,0.0,ZBRA
2024-03-20,285.8099975585937,358500,0.0,ZBRA
2024-03-21,295.0599975585937,227400,0.0,ZBRA
2024-03-22,291.44000244140625,201800,0.0,ZBRA
2024-03-25,297.94000244140625,449800,0.0,ZBRA
2024-03-26,291.3800048828125,290600,0.0,ZBRA
2024-03-27,299.1600036621094,405000,0.0,ZBRA
2024-03-28,301.44000244140625,376900,0.0,ZBRA
2024-04-01,301.0,416900,0.0,ZBRA
2024-04-02,296.5,461500,0.0,ZBRA
2024-04-03,292.75,399300,0.0,ZBRA
2024-04-04,292.9599914550781,390700,0.0,ZBRA
2024-04-05,290.3800048828125,216700,0.0,ZBRA
2024-04-08,296.8699951171875,232800,0.0,ZBRA
2024-04-09,306.1700134277344,364500,0.0,ZBRA
2024-04-10,299.9100036621094,287600,0.0,ZBRA
2024-04-11,297.5400085449219,270500,0.0,ZBRA
2024-04-12,289.67999267578125,221000,0.0,ZBRA
2024-04-15,283.0,199500,0.0,ZBRA
2024-04-16,280.4200134277344,245500,0.0,ZBRA
2024-04-17,276.1400146484375,175600,0.0,ZBRA
2024-04-18,273.0299987792969,376100,0.0,ZBRA
2024-04-19,268.07000732421875,351500,0.0,ZBRA
2024-04-22,271.6300048828125,305100,0.0,ZBRA
2024-04-23,276.5599975585937,245800,0.0,ZBRA
2024-04-24,277.5299987792969,322600,0.0,ZBRA
2024-04-25,292.5299987792969,674700,0.0,ZBRA
2024-04-26,297.2099914550781,461400,0.0,ZBRA
2024-04-29,300.010009765625,560700,0.0,ZBRA
2024-04-30,314.5599975585937,907700,0.0,ZBRA
2024-05-01,309.04998779296875,580100,0.0,ZBRA
2024-05-02,312.7099914550781,507800,0.0,ZBRA
2024-05-03,309.5899963378906,475200,0.0,ZBRA
2024-05-06,315.7900085449219,334100,0.0,ZBRA
2024-05-07,317.8699951171875,275000,0.0,ZBRA
2024-05-08,319.95001220703125,329800,0.0,ZBRA
2024-05-09,316.5,250400,0.0,ZBRA
2024-05-10,315.79998779296875,304100,0.0,ZBRA
2024-05-13,316.0,232900,0.0,ZBRA
2024-05-14,320.9800109863281,216300,0.0,ZBRA
2024-05-15,323.8699951171875,217500,0.0,ZBRA
2024-05-16,319.8599853515625,288400,0.0,ZBRA
2024-05-17,317.8900146484375,222700,0.0,ZBRA
2024-05-20,320.1600036621094,332000,0.0,ZBRA
2024-05-21,321.7799987792969,285700,0.0,ZBRA
2024-05-22,326.9800109863281,230700,0.0,ZBRA
2024-05-23,324.0599975585937,276600,0.0,ZBRA
2024-05-24,327.0,205400,0.0,ZBRA
2024-05-28,326.239990234375,303100,0.0,ZBRA
2024-05-29,316.92999267578125,216500,0.0,ZBRA
2024-05-30,316.6199951171875,233800,0.0,ZBRA
2024-05-31,312.3399963378906,507200,0.0,ZBRA
2024-06-03,307.6300048828125,305600,0.0,ZBRA
2024-06-04,302.7699890136719,219500,0.0,ZBRA
2024-06-05,307.5,248000,0.0,ZBRA
2024-06-06,307.489990234375,162800,0.0,ZBRA
2024-06-07,300.8299865722656,187300,0.0,ZBRA
2024-06-10,302.6000061035156,227800,0.0,ZBRA
2024-06-11,301.3800048828125,172900,0.0,ZBRA
2024-06-12,304.5599975585937,191600,0.0,ZBRA
2024-06-13,308.9100036621094,303000,0.0,ZBRA
2024-06-14,301.3699951171875,218800,0.0,ZBRA
2024-06-17,302.3999938964844,306400,0.0,ZBRA
2024-06-18,295.25,436200,0.0,ZBRA
2024-06-20,296.6400146484375,352300,0.0,ZBRA
2024-06-21,300.010009765625,576900,0.0,ZBRA
2024-06-24,306.7099914550781,428200,0.0,ZBRA
2024-06-25,306.0400085449219,319000,0.0,ZBRA
2024-06-26,307.1199951171875,264800,0.0,ZBRA
2024-06-27,306.989990234375,303700,0.0,ZBRA
2024-06-28,308.92999267578125,417900,0.0,ZBRA
2024-07-01,306.2099914550781,266700,0.0,ZBRA
2024-07-02,310.0299987792969,212700,0.0,ZBRA
2024-07-03,312.8500061035156,106600,0.0,ZBRA
2024-07-05,310.510009765625,245700,0.0,ZBRA
2024-07-08,314.4800109863281,209100,0.0,ZBRA
2024-07-09,315.239990234375,339000,0.0,ZBRA
2024-07-10,323.8099975585937,258100,0.0,ZBRA
2024-07-11,328.32000732421875,360200,0.0,ZBRA
2024-07-12,325.19000244140625,375900,0.0,ZBRA
2024-07-15,327.5,281100,0.0,ZBRA
2024-07-16,335.760009765625,321400,0.0,ZBRA
2024-07-17,325.8900146484375,410800,0.0,ZBRA
2024-07-18,323.3699951171875,414800,0.0,ZBRA
