Date,Close,Volume,StockSplits,Ticker
2023-12-19,133.57733154296875,898700,0.0,DGX
2023-12-20,131.9326934814453,717900,0.0,DGX
2023-12-21,133.17593383789062,668400,0.0,DGX
2023-12-22,133.86122131347656,408100,0.0,DGX
2023-12-26,133.88079833984375,467100,0.0,DGX
2023-12-27,134.68353271484375,648600,0.0,DGX
2023-12-28,134.76185607910156,434800,0.0,DGX
2023-12-29,134.9772186279297,416000,0.0,DGX
2024-01-02,137.85533142089844,1045400,0.0,DGX
2024-01-03,136.7393035888672,1039700,0.0,DGX
2024-01-04,137.60079956054688,880900,0.0,DGX
2024-01-05,138.99090576171875,930600,0.0,DGX
2024-01-08,138.61892700195312,852000,0.0,DGX
2024-01-09,139.11817932128906,668700,0.0,DGX
2024-01-10,134.21365356445312,2141300,0.0,DGX
2024-01-11,132.9116668701172,1145700,0.0,DGX
2024-01-12,132.4515380859375,1008700,0.0,DGX
2024-01-16,131.7233123779297,887000,0.0,DGX
2024-01-17,131.59536743164062,794400,0.0,DGX
2024-01-18,132.09725952148438,710000,0.0,DGX
2024-01-19,130.46363830566406,945200,0.0,DGX
2024-01-22,128.63320922851562,986200,0.0,DGX
2024-01-23,127.71796417236328,1194500,0.0,DGX
2024-01-24,125.73005676269533,1707300,0.0,DGX
2024-01-25,128.0820770263672,1853600,0.0,DGX
2024-01-26,128.3674774169922,966000,0.0,DGX
2024-01-29,127.2849578857422,911200,0.0,DGX
2024-01-30,126.78306579589844,896400,0.0,DGX
2024-01-31,126.389404296875,1712900,0.0,DGX
2024-02-01,125.14942932128906,2505700,0.0,DGX
2024-02-02,123.013916015625,1276600,0.0,DGX
2024-02-05,121.81330108642578,1380200,0.0,DGX
2024-02-06,124.25389862060548,1942700,0.0,DGX
2024-02-07,125.3954620361328,1194700,0.0,DGX
2024-02-08,124.52944946289062,1003400,0.0,DGX
2024-02-09,124.72626495361328,621300,0.0,DGX
2024-02-12,127.94430541992188,1011200,0.0,DGX
2024-02-13,125.8284683227539,791500,0.0,DGX
2024-02-14,125.6906967163086,801100,0.0,DGX
2024-02-15,123.7323226928711,1231700,0.0,DGX
2024-02-16,122.02980041503906,1397200,0.0,DGX
2024-02-20,121.8329849243164,1124800,0.0,DGX
2024-02-21,124.7164306640625,1488700,0.0,DGX
2024-02-22,123.3485107421875,873800,0.0,DGX
2024-02-23,125.06086730957033,787400,0.0,DGX
2024-02-26,124.19483947753906,956000,0.0,DGX
2024-02-27,124.4211883544922,631700,0.0,DGX
2024-02-28,123.6634292602539,583700,0.0,DGX
2024-02-29,122.90565490722656,1590400,0.0,DGX
2024-03-01,122.69900512695312,1034100,0.0,DGX
2024-03-04,123.31898498535156,913600,0.0,DGX
2024-03-05,122.53170013427734,1068000,0.0,DGX
2024-03-06,124.90340423583984,1006200,0.0,DGX
2024-03-07,125.3659439086914,819200,0.0,DGX
2024-03-08,125.21832275390624,811800,0.0,DGX
2024-03-11,127.37352752685548,825400,0.0,DGX
2024-03-12,127.6786117553711,909200,0.0,DGX
2024-03-13,127.3538589477539,849400,0.0,DGX
2024-03-14,125.10022735595705,1018900,0.0,DGX
2024-03-15,126.2417984008789,1954900,0.0,DGX
2024-03-18,126.10401916503906,838200,0.0,DGX
2024-03-19,127.0093994140625,902800,0.0,DGX
2024-03-20,125.6906967163086,586600,0.0,DGX
2024-03-21,126.78306579589844,639800,0.0,DGX
2024-03-22,127.24559020996094,708100,0.0,DGX
2024-03-25,127.22590637207033,584200,0.0,DGX
2024-03-26,126.82242584228516,666200,0.0,DGX
2024-03-27,128.97763061523438,753000,0.0,DGX
2024-03-28,130.9950714111328,888000,0.0,DGX
2024-04-01,132.62867736816406,2109000,0.0,DGX
2024-04-02,130.18809509277344,1404300,0.0,DGX
2024-04-03,130.2864990234375,1067100,0.0,DGX
2024-04-04,129.41062927246094,847800,0.0,DGX
2024-04-05,129.29188537597656,691500,0.0,DGX
2024-04-08,128.70790100097656,595100,0.0,DGX
2024-04-09,131.39015197753906,800000,0.0,DGX
2024-04-10,130.27171325683594,787400,0.0,DGX
2024-04-11,128.68812561035156,754200,0.0,DGX
2024-04-12,127.21337890625,720200,0.0,DGX
2024-04-15,127.32225036621094,698800,0.0,DGX
2024-04-16,126.11474609375,692300,0.0,DGX
2024-04-17,125.67926025390624,886800,0.0,DGX
2024-04-18,124.62022399902344,873700,0.0,DGX
2024-04-19,127.12430572509766,1557600,0.0,DGX
2024-04-22,128.7574005126953,1694300,0.0,DGX
2024-04-23,135.2996826171875,2088300,0.0,DGX
2024-04-24,136.1409912109375,1566400,0.0,DGX
2024-04-25,134.0327911376953,1016000,0.0,DGX
2024-04-26,132.88467407226562,601700,0.0,DGX
2024-04-29,138.0709991455078,2790100,0.0,DGX
2024-04-30,136.76451110839844,1067500,0.0,DGX
2024-05-01,136.1409912109375,676600,0.0,DGX
2024-05-02,134.94337463378906,695200,0.0,DGX
2024-05-03,135.97271728515625,640500,0.0,DGX
2024-05-06,134.25054931640625,750600,0.0,DGX
2024-05-07,135.5372314453125,637800,0.0,DGX
2024-05-08,134.74542236328125,612400,0.0,DGX
2024-05-09,136.74473571777344,588300,0.0,DGX
2024-05-10,137.00205993652344,569600,0.0,DGX
2024-05-13,139.337890625,1116200,0.0,DGX
2024-05-14,137.73448181152344,741100,0.0,DGX
2024-05-15,139.337890625,757600,0.0,DGX
2024-05-16,140.97097778320312,995900,0.0,DGX
2024-05-17,142.86143493652344,1422800,0.0,DGX
2024-05-20,142.6931610107422,1078800,0.0,DGX
2024-05-21,141.87167358398438,561800,0.0,DGX
2024-05-22,140.40684509277344,805700,0.0,DGX
2024-05-23,138.60546875,1147100,0.0,DGX
2024-05-24,139.83277893066406,647500,0.0,DGX
2024-05-28,137.487060546875,886300,0.0,DGX
2024-05-29,136.77442932128906,986800,0.0,DGX
2024-05-30,137.9027557373047,838600,0.0,DGX
2024-05-31,140.5157012939453,2238000,0.0,DGX
2024-06-03,139.66452026367188,634300,0.0,DGX
2024-06-04,140.11981201171875,818800,0.0,DGX
2024-06-05,141.22833251953125,837500,0.0,DGX
2024-06-06,141.17884826660156,618400,0.0,DGX
2024-06-07,140.8819122314453,366200,0.0,DGX
2024-06-10,140.0208282470703,589500,0.0,DGX
2024-06-11,139.31809997558594,544000,0.0,DGX
2024-06-12,137.40786743164062,831200,0.0,DGX
2024-06-13,137.11094665527344,668000,0.0,DGX
2024-06-14,136.4379119873047,718600,0.0,DGX
2024-06-17,135.6164093017578,815800,0.0,DGX
2024-06-18,135.89353942871094,759700,0.0,DGX
2024-06-20,136.78431701660156,758500,0.0,DGX
2024-06-21,137.5365447998047,908500,0.0,DGX
2024-06-24,138.7935333251953,599400,0.0,DGX
2024-06-25,136.88330078125,734400,0.0,DGX
2024-06-26,137.1802215576172,710900,0.0,DGX
2024-06-27,135.93312072753906,936200,0.0,DGX
2024-06-28,135.47784423828125,1284700,0.0,DGX
2024-07-01,135.68569946289062,788700,0.0,DGX
2024-07-02,135.24029541015625,1048500,0.0,DGX
2024-07-03,139.4566650390625,808400,0.0,DGX
