Date,Close,Volume,StockSplits,Ticker
2023-12-19,94.91000366210938,1687000,0.0,LYV
2023-12-20,90.63999938964844,1704500,0.0,LYV
2023-12-21,91.4000015258789,1892500,0.0,LYV
2023-12-22,91.43000030517578,1863000,0.0,LYV
2023-12-26,92.3499984741211,1105600,0.0,LYV
2023-12-27,92.9800033569336,2051000,0.0,LYV
2023-12-28,94.0500030517578,1683600,0.0,LYV
2023-12-29,93.5999984741211,1612700,0.0,LYV
2024-01-02,91.80999755859376,1352900,0.0,LYV
2024-01-03,89.36000061035156,1406600,0.0,LYV
2024-01-04,89.04000091552734,1401100,0.0,LYV
2024-01-05,89.20999908447266,2988200,0.0,LYV
2024-01-08,90.22000122070312,1368300,0.0,LYV
2024-01-09,91.4499969482422,1768200,0.0,LYV
2024-01-10,89.5,2237600,0.0,LYV
2024-01-11,91.27999877929688,1591900,0.0,LYV
2024-01-12,90.66000366210938,1016500,0.0,LYV
2024-01-16,90.5999984741211,1334700,0.0,LYV
2024-01-17,90.30999755859376,2902800,0.0,LYV
2024-01-18,90.6500015258789,1726300,0.0,LYV
2024-01-19,91.18000030517578,1528200,0.0,LYV
2024-01-22,89.02999877929688,2895900,0.0,LYV
2024-01-23,90.0199966430664,2970300,0.0,LYV
2024-01-24,89.3499984741211,1625600,0.0,LYV
2024-01-25,89.77999877929688,1166700,0.0,LYV
2024-01-26,89.29000091552734,2191900,0.0,LYV
2024-01-29,89.11000061035156,2233700,0.0,LYV
2024-01-30,88.83000183105469,1719900,0.0,LYV
2024-01-31,88.8499984741211,2628600,0.0,LYV
2024-02-01,89.38999938964844,2653200,0.0,LYV
2024-02-02,88.19999694824219,2025800,0.0,LYV
2024-02-05,87.41000366210938,1633800,0.0,LYV
2024-02-06,88.83999633789062,2616800,0.0,LYV
2024-02-07,87.66000366210938,2152700,0.0,LYV
2024-02-08,88.0,1926500,0.0,LYV
2024-02-09,89.52999877929688,3168000,0.0,LYV
2024-02-12,89.5,1656700,0.0,LYV
2024-02-13,87.75,2464000,0.0,LYV
2024-02-14,89.4000015258789,2441700,0.0,LYV
2024-02-15,93.83000183105467,3824300,0.0,LYV
2024-02-16,93.25,1862200,0.0,LYV
2024-02-20,92.0500030517578,2332700,0.0,LYV
2024-02-21,91.1999969482422,1565200,0.0,LYV
2024-02-22,93.48999786376952,3289600,0.0,LYV
2024-02-23,95.31999969482422,5787700,0.0,LYV
2024-02-26,92.16999816894533,3228300,0.0,LYV
2024-02-27,93.54000091552734,2124400,0.0,LYV
2024-02-28,94.27999877929688,1511500,0.0,LYV
2024-02-29,96.9800033569336,3460700,0.0,LYV
2024-03-01,97.1500015258789,3390800,0.0,LYV
2024-03-04,98.6999969482422,3002300,0.0,LYV
2024-03-05,98.1999969482422,5492200,0.0,LYV
2024-03-06,99.19000244140624,1567500,0.0,LYV
