Date,Close,Volume,StockSplits,Ticker
2023-12-19,121.59994506835938,1463300,0.0,STLD
2023-12-20,118.59249114990234,868300,0.0,STLD
2023-12-21,118.51361083984376,746000,0.0,STLD
2023-12-22,120.14059448242188,679400,0.0,STLD
2023-12-26,119.55883026123048,347400,0.0,STLD
2023-12-27,119.21370697021484,751900,0.0,STLD
2023-12-28,117.83331298828124,574300,0.0,STLD
2023-12-29,116.86356353759766,769600,0.0,STLD
2024-01-02,117.66509246826172,966000,0.0,STLD
2024-01-03,117.8629913330078,1234200,0.0,STLD
2024-01-04,115.24073791503906,1304300,0.0,STLD
2024-01-05,115.00325012207033,1484900,0.0,STLD
2024-01-08,115.81465911865234,1146600,0.0,STLD
2024-01-09,111.8268585205078,1325000,0.0,STLD
2024-01-10,111.65863037109376,1157300,0.0,STLD
2024-01-11,111.93570709228516,1115000,0.0,STLD
2024-01-12,112.03466033935548,782500,0.0,STLD
2024-01-16,110.43161010742188,1144500,0.0,STLD
2024-01-17,111.17376708984376,1265700,0.0,STLD
2024-01-18,111.51021575927734,1007400,0.0,STLD
2024-01-19,111.67843627929688,956600,0.0,STLD
2024-01-22,114.22152709960938,1967400,0.0,STLD
2024-01-23,114.92408752441406,1971000,0.0,STLD
2024-01-24,115.31990051269533,2578200,0.0,STLD
2024-01-25,114.68659973144533,1268000,0.0,STLD
2024-01-26,114.78555297851562,996100,0.0,STLD
2024-01-29,115.63655090332033,1736000,0.0,STLD
2024-01-30,121.16802215576172,1620300,0.0,STLD
2024-01-31,119.42646026611328,1657000,0.0,STLD
2024-02-01,118.53587341308594,1470100,0.0,STLD
2024-02-02,118.90200805664062,1210000,0.0,STLD
2024-02-05,120.21807861328124,1277300,0.0,STLD
2024-02-06,118.91189575195312,1187200,0.0,STLD
2024-02-07,123.25593566894533,1466500,0.0,STLD
2024-02-08,123.5330047607422,846900,0.0,STLD
2024-02-09,123.68143463134766,1153400,0.0,STLD
2024-02-12,122.51377868652344,973100,0.0,STLD
2024-02-13,117.13074493408205,1245700,0.0,STLD
2024-02-14,118.48639678955078,906500,0.0,STLD
2024-02-15,122.8106460571289,1319200,0.0,STLD
2024-02-16,122.0487060546875,895900,0.0,STLD
2024-02-20,121.32634735107422,1014200,0.0,STLD
2024-02-21,120.77222442626952,851400,0.0,STLD
2024-02-22,123.47364044189452,797600,0.0,STLD
2024-02-23,125.68028259277344,752700,0.0,STLD
2024-02-26,129.69778442382812,998300,0.0,STLD
2024-02-27,131.577880859375,1222600,0.0,STLD
2024-02-28,131.10292053222656,1174600,0.0,STLD
2024-02-29,132.4189910888672,2134800,0.0,STLD
2024-03-01,132.31015014648438,1508200,0.0,STLD
2024-03-04,128.87648010253906,1349300,0.0,STLD
2024-03-05,127.1546859741211,1120500,0.0,STLD
2024-03-06,128.59939575195312,897600,0.0,STLD
2024-03-07,131.02374267578125,703600,0.0,STLD
2024-03-08,130.10348510742188,873200,0.0,STLD
2024-03-11,128.55982971191406,810100,0.0,STLD
2024-03-12,129.96493530273438,1091600,0.0,STLD
2024-03-13,132.54762268066406,1155400,0.0,STLD
2024-03-14,130.77638244628906,967600,0.0,STLD
2024-03-15,136.45626831054688,3864100,0.0,STLD
2024-03-18,138.50460815429688,1110400,0.0,STLD
2024-03-19,139.4050750732422,1229500,0.0,STLD
2024-03-20,141.22581481933594,991000,0.0,STLD
2024-03-21,142.35386657714844,961700,0.0,STLD
2024-03-22,142.50230407714844,767200,0.0,STLD
2024-03-25,142.6408233642578,985300,0.0,STLD
2024-03-26,143.313720703125,1063700,0.0,STLD
2024-03-27,145.91455078125,992200,0.0,STLD
2024-03-28,147.14549255371094,956800,0.0,STLD
2024-04-01,148.16793823242188,873800,0.0,STLD
2024-04-02,146.81788635253906,917300,0.0,STLD
2024-04-03,146.64913940429688,902800,0.0,STLD
2024-04-04,145.63661193847656,768000,0.0,STLD
2024-04-05,146.1925048828125,638500,0.0,STLD
2024-04-08,146.7682647705078,619700,0.0,STLD
2024-04-09,145.6564483642578,823000,0.0,STLD
2024-04-10,143.5916748046875,1133900,0.0,STLD
2024-04-11,143.17474365234375,1024400,0.0,STLD
2024-04-12,139.60108947753906,1278200,0.0,STLD
2024-04-15,139.9385986328125,975800,0.0,STLD
2024-04-16,138.7473907470703,1020100,0.0,STLD
2024-04-17,137.9135284423828,997300,0.0,STLD
2024-04-18,135.074462890625,1332800,0.0,STLD
2024-04-19,135.89837646484375,983200,0.0,STLD
2024-04-22,136.2954559326172,822600,0.0,STLD
2024-04-23,133.1784210205078,2123800,0.0,STLD
2024-04-24,128.96945190429688,2557000,0.0,STLD
2024-04-25,132.0566864013672,1447800,0.0,STLD
2024-04-26,133.05929565429688,1054000,0.0,STLD
2024-04-29,134.08177185058594,975300,0.0,STLD
2024-04-30,129.16796875,1378600,0.0,STLD
2024-05-01,128.701416015625,940800,0.0,STLD
2024-05-02,129.83306884765625,1149600,0.0,STLD
2024-05-03,134.47885131835938,1220700,0.0,STLD
2024-05-06,131.62985229492188,1818300,0.0,STLD
2024-05-07,131.73904418945312,1054500,0.0,STLD
2024-05-08,129.8628692626953,1147900,0.0,STLD
2024-05-09,133.85345458984375,883800,0.0,STLD
2024-05-10,134.1909637451172,792400,0.0,STLD
2024-05-13,133.86338806152344,977100,0.0,STLD
2024-05-14,134.08177185058594,600700,0.0,STLD
2024-05-15,135.92816162109375,1146700,0.0,STLD
2024-05-16,133.962646484375,1027300,0.0,STLD
2024-05-17,132.95010375976562,831900,0.0,STLD
2024-05-20,132.10633850097656,1123700,0.0,STLD
2024-05-21,133.36705017089844,772400,0.0,STLD
2024-05-22,131.75888061523438,984000,0.0,STLD
2024-05-23,132.59275817871094,1174100,0.0,STLD
2024-05-24,132.3644256591797,628900,0.0,STLD
2024-05-28,133.29754638671875,1403100,0.0,STLD
2024-05-29,130.7661895751953,928100,0.0,STLD
2024-05-30,132.52325439453125,787800,0.0,STLD
2024-05-31,132.89053344726562,2501300,0.0,STLD
2024-06-03,131.6397705078125,743400,0.0,STLD
