Date,Close,Volume,StockSplits,Ticker
2023-12-19,233.06744384765625,1107400,0.0,VRSK
2023-12-20,232.08331298828125,1059000,0.0,VRSK
2023-12-21,233.6141662597656,646300,0.0,VRSK
2023-12-22,234.79708862304688,918800,0.0,VRSK
2023-12-26,235.6221618652344,516500,0.0,VRSK
2023-12-27,235.81103515625,534400,0.0,VRSK
2023-12-28,236.1987152099609,374300,0.0,VRSK
2023-12-29,237.4413146972656,520700,0.0,VRSK
2024-01-02,236.56651306152344,743700,0.0,VRSK
2024-01-03,235.2941131591797,679500,0.0,VRSK
2024-01-04,236.5366973876953,707800,0.0,VRSK
2024-01-05,232.3119354248047,832800,0.0,VRSK
2024-01-08,231.3278350830078,1139900,0.0,VRSK
2024-01-09,233.3258819580078,648700,0.0,VRSK
2024-01-10,232.5704040527344,730600,0.0,VRSK
2024-01-11,232.8189239501953,997900,0.0,VRSK
2024-01-12,235.3637084960937,619100,0.0,VRSK
2024-01-16,235.6221618652344,1368200,0.0,VRSK
2024-01-17,235.2642974853516,681700,0.0,VRSK
2024-01-18,236.1390838623047,667300,0.0,VRSK
2024-01-19,238.69381713867188,803200,0.0,VRSK
2024-01-22,242.0139923095703,639400,0.0,VRSK
2024-01-23,242.3917236328125,673100,0.0,VRSK
2024-01-24,243.1968994140625,546200,0.0,VRSK
2024-01-25,242.0338592529297,508100,0.0,VRSK
2024-01-26,242.6998748779297,713700,0.0,VRSK
2024-01-29,243.11740112304688,644700,0.0,VRSK
2024-01-30,244.6283569335937,751900,0.0,VRSK
2024-01-31,240.09542846679688,1187300,0.0,VRSK
2024-02-01,245.1551971435547,935200,0.0,VRSK
2024-02-02,246.30831909179688,549500,0.0,VRSK
2024-02-05,245.1353302001953,557700,0.0,VRSK
2024-02-06,246.9942321777344,518300,0.0,VRSK
2024-02-07,249.1712188720703,803400,0.0,VRSK
2024-02-08,247.779525756836,640900,0.0,VRSK
2024-02-09,249.1214904785156,722400,0.0,VRSK
2024-02-12,245.6621856689453,575100,0.0,VRSK
2024-02-13,243.47525024414065,738000,0.0,VRSK
2024-02-14,244.6780548095703,988500,0.0,VRSK
2024-02-15,245.1850128173828,666800,0.0,VRSK
2024-02-16,243.24661254882807,1399200,0.0,VRSK
2024-02-20,247.0339813232422,1231700,0.0,VRSK
2024-02-21,236.2583770751953,1876600,0.0,VRSK
2024-02-22,238.5844573974609,1009200,0.0,VRSK
2024-02-23,243.37583923339844,688100,0.0,VRSK
2024-02-26,241.6660614013672,679200,0.0,VRSK
2024-02-27,241.4771881103516,532500,0.0,VRSK
2024-02-28,240.5626678466797,658400,0.0,VRSK
2024-02-29,240.4632263183593,1238100,0.0,VRSK
2024-03-01,240.2147216796875,738600,0.0,VRSK
2024-03-04,238.5049285888672,715600,0.0,VRSK
2024-03-05,236.3279724121093,906000,0.0,VRSK
2024-03-06,234.1708374023437,984200,0.0,VRSK
2024-03-07,234.7374725341797,1300800,0.0,VRSK
2024-03-08,235.1251373291016,765900,0.0,VRSK
2024-03-11,236.0695037841797,727200,0.0,VRSK
2024-03-12,236.6659393310547,610200,0.0,VRSK
2024-03-13,234.85675048828125,778300,0.0,VRSK
2024-03-14,231.8497314453125,992600,0.0,VRSK
2024-03-15,233.5125732421875,1611200,0.0,VRSK
2024-03-18,234.71734619140625,1011300,0.0,VRSK
2024-03-19,236.4199981689453,741800,0.0,VRSK
2024-03-20,235.38446044921875,719100,0.0,VRSK
2024-03-21,234.8965759277344,1261000,0.0,VRSK
2024-03-22,233.85107421875,1020500,0.0,VRSK
2024-03-25,231.0033721923828,1063400,0.0,VRSK
2024-03-26,230.2167816162109,1179900,0.0,VRSK
2024-03-27,232.9250640869141,1533800,0.0,VRSK
2024-03-28,234.71734619140625,1218600,0.0,VRSK
2024-04-01,231.780014038086,847200,0.0,VRSK
2024-04-02,230.9934234619141,847000,0.0,VRSK
2024-04-03,230.01763916015625,559300,0.0,VRSK
2024-04-04,225.54690551757807,891200,0.0,VRSK
2024-04-05,226.67205810546875,579900,0.0,VRSK
2024-04-08,225.40753173828125,1035500,0.0,VRSK
2024-04-09,228.3747100830078,690100,0.0,VRSK
2024-04-10,224.94949340820312,608100,0.0,VRSK
2024-04-11,222.4004821777344,1382800,0.0,VRSK
2024-04-12,221.5740509033203,1039700,0.0,VRSK
2024-04-15,221.2255401611328,1070500,0.0,VRSK
2024-04-16,221.1459197998047,1462500,0.0,VRSK
2024-04-17,221.2952423095703,841400,0.0,VRSK
2024-04-18,222.37062072753903,676800,0.0,VRSK
2024-04-19,221.5641021728516,714300,0.0,VRSK
2024-04-22,222.2113037109375,733100,0.0,VRSK
2024-04-23,221.2952423095703,1068500,0.0,VRSK
2024-04-24,221.2952423095703,1008800,0.0,VRSK
2024-04-25,221.8329315185547,1052600,0.0,VRSK
2024-04-26,220.1900177001953,815700,0.0,VRSK
2024-04-29,220.89697265625,911700,0.0,VRSK
2024-04-30,217.0236968994141,1455600,0.0,VRSK
2024-05-01,231.8098907470703,1824400,0.0,VRSK
2024-05-02,232.7558135986328,1544700,0.0,VRSK
2024-05-03,236.3104858398437,1127600,0.0,VRSK
2024-05-06,240.82101440429688,892900,0.0,VRSK
2024-05-07,245.93893432617188,1094500,0.0,VRSK
2024-05-08,243.51939392089844,780300,0.0,VRSK
2024-05-09,243.9276123046875,523000,0.0,VRSK
2024-05-10,247.24331665039065,697900,0.0,VRSK
2024-05-13,245.28176879882807,399200,0.0,VRSK
2024-05-14,245.8692169189453,499600,0.0,VRSK
2024-05-15,246.7753143310547,477700,0.0,VRSK
2024-05-16,250.39968872070312,605700,0.0,VRSK
2024-05-17,250.53909301757807,778900,0.0,VRSK
2024-05-20,251.32569885253903,580300,0.0,VRSK
2024-05-21,250.41961669921875,607300,0.0,VRSK
2024-05-22,252.5504150390625,707000,0.0,VRSK
2024-05-23,248.1792755126953,894600,0.0,VRSK
2024-05-24,250.499252319336,689800,0.0,VRSK
2024-05-28,247.8009033203125,770400,0.0,VRSK
2024-05-29,245.85926818847656,636300,0.0,VRSK
2024-05-30,248.2987518310547,888300,0.0,VRSK
2024-05-31,251.6941070556641,2984800,0.0,VRSK
2024-06-03,252.6599273681641,639800,0.0,VRSK
2024-06-04,257.1405944824219,885400,0.0,VRSK
2024-06-05,260.1575927734375,674700,0.0,VRSK
2024-06-06,258.8830871582031,530200,0.0,VRSK
2024-06-07,262.86590576171875,898300,0.0,VRSK
2024-06-10,262.3481750488281,667700,0.0,VRSK
2024-06-11,263.53302001953125,397300,0.0,VRSK
2024-06-12,262.42779541015625,589400,0.0,VRSK
2024-06-13,261.1134338378906,496000,0.0,VRSK
2024-06-14,263.6263732910156,472000,0.0,VRSK
2024-06-17,266.9370422363281,487100,0.0,VRSK
2024-06-18,268.0439147949219,655700,0.0,VRSK
2024-06-20,267.3359069824219,648800,0.0,VRSK
2024-06-21,269.5596618652344,1550300,0.0,VRSK
2024-06-24,271.00555419921875,726300,0.0,VRSK
2024-06-25,271.504150390625,794100,0.0,VRSK
2024-06-26,269.1009216308594,565700,0.0,VRSK
2024-06-27,270.0881652832031,646500,0.0,VRSK
2024-06-28,268.79180908203125,1101800,0.0,VRSK
2024-07-01,267.3558654785156,810300,0.0,VRSK
2024-07-02,271.5939025878906,835700,0.0,VRSK
2024-07-03,272.5113220214844,340200,0.0,VRSK
